epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
1,324.340881936592,315.8527669538531,8.488114549193465,254.77447403801813,205.88983345031738,48.88464061419169
2,227.20967241253769,177.59685188427306,49.61282072903817,207.08593808280096,147.76045650906033,59.32548169294993
3,209.8854138826069,153.78735033001817,56.098063311660496,204.45165390438504,144.75837771097818,59.693276723225914
4,207.1149948387815,150.45645446777343,56.658540899711745,202.21232856644525,148.4838853147295,53.728442986806236
5,206.21272997939795,148.7053675601357,57.507362345645305,201.56793106926813,145.22095123926798,56.346979247199165
6,205.99946615654125,148.1876092208059,57.811857049507005,201.0115473535326,141.22647710641226,59.7850706577301
7,205.45189409757916,147.75584277772066,57.69605131985848,200.38147152794733,142.768420431349,57.61305169264475
8,205.57749446400425,147.3449501974541,58.232544467323706,202.77712180879382,142.00523744689093,60.77188405725691
9,205.10587484794752,146.7581688328793,58.34770617568702,202.68514635827808,144.44146720568338,58.24367846382989
10,204.42561455442194,146.9532969424599,57.472317685579,204.21050294240317,151.50440578990512,52.70609621206919
11,204.8660480164645,146.89498296369587,57.971065213387476,199.58974054124621,142.87555695904626,56.71418288018968
12,204.48240608081483,146.5650057073225,57.917400580958315,200.7173194355435,144.79568348990546,55.92163548204634
13,204.50392498886376,146.5306705140231,57.973254749231174,201.73202837838068,150.36872386932373,51.363305105103386
14,204.55283885755037,146.49590632120768,58.05693319220292,201.07821032736035,139.4063686794705,61.67184148894416
15,204.33602675053112,146.35416661312706,57.98185976262678,199.78208123313055,144.1332437462277,55.64883695708381
16,204.30375706187465,146.17618515282348,58.12757141380979,201.5681171682146,146.48287214173212,55.085244761572945
17,204.22776205497877,146.3130067791855,57.9147555568762,199.3408932156033,144.67288100719452,54.66801269849142
18,203.91713412100808,145.74114331697163,58.17599038910448,199.3381816016303,143.57086405489179,55.76731740103828
19,203.82339656896758,145.8286232663874,57.99477348327637,198.76846959855823,142.930999411477,55.83746972348955
20,204.34002894351357,146.0707384879129,58.269290428830864,199.8161896864573,142.3492313226064,57.46695952945285
21,203.1986766079016,145.63306223551433,57.56561407122695,199.0363967153761,143.02066685093774,56.01572987768385
22,204.79129151461416,146.0454300729852,58.74586116054602,199.20255178875394,146.0546672079298,53.14788521660699
23,203.57239602072198,145.9342798868815,57.63811604683859,198.66969389385648,143.89902795685663,54.770666413837006
24,204.14827222322162,145.6487747995477,58.49949758429276,198.64266165097555,141.77396853764853,56.86869268947177
25,203.71153767903647,145.5690957052666,58.14244188007555,199.9139748679267,141.90181291103363,58.012162102593315
26,204.33127146938392,145.6650334809956,58.66623818916187,200.8542448149787,143.26060231526694,57.5936426586575
27,202.82434306897616,145.39311250385487,57.4312300698799,198.06209953625998,140.48115951485104,57.58093927966224
28,203.30859586481463,145.5048728541324,57.80372279652378,199.63187625673083,144.6286836995019,55.003191815482246
29,203.3344268798828,145.74255043163635,57.59187660217285,199.8929704560174,144.49126113785638,55.401708364486694
30,202.9292062056692,145.10584415636563,57.823362169767684,198.91805823644003,140.90580405129327,58.01225418514676
31,203.56414848461486,144.98383605689332,58.58031300996479,199.92969512939453,143.94423082139758,55.98546350002289
32,203.30136295787077,145.2824981421755,58.018864815695245,198.29978092511496,137.7005443043179,60.59923683272468
33,203.39664946438972,144.87907832630893,58.51757174709387,199.27455202738443,142.75086278385587,56.52368802494473
34,202.97348606042695,144.98609408997652,57.98739172952217,200.0916761027442,145.78202035692004,54.30965569284227
35,203.5709168283563,145.16344185544733,58.40747527406927,198.86175378163657,140.49859772788153,58.363155947791206
36,204.1291189896433,145.49063676532947,58.63848209046481,200.54800404442682,143.3995901743571,57.148415207862854
37,203.04628986559416,145.01970070286802,58.02658900879977,199.55386267768012,139.35336866643695,60.20049397150675
38,202.99115691603276,145.036594270405,57.954562384622136,199.16919475131564,141.54683038923474,57.62236471970876
39,202.94379748963473,144.93725149589673,58.00654629489832,198.85090679592557,141.5545880264706,57.29631903436449
40,202.98379216779742,144.92723270884733,58.05655945895011,198.54169909159342,142.69976035753885,55.84193739626143
41,202.56053322239927,144.86787960654812,57.692654037475585,198.95247485902576,139.59645897812314,59.35601540406545
42,203.57971265023215,144.7925800791958,58.78713269150048,199.42042303085327,142.58283853530884,56.83758408493466
43,203.4390623929208,144.99854672080593,58.44051569888466,200.36195015907288,145.1474827925364,55.2144668896993
44,203.25752670555784,145.20496095356188,58.05256587246008,198.8268664677938,143.46066420608096,55.366202142503525
45,203.06427609627707,144.6773521557189,58.38692365947523,199.3956299357944,142.14028702841864,57.25534337096744
46,203.12615894518402,144.96615734434965,58.16000151383249,198.88371102015176,140.40733122825623,58.47637989785936
47,203.14105042574698,145.25195392809417,57.889096952739514,198.59698584344653,143.83650170432196,54.76048477490743
48,202.72840592233757,144.80912119547526,57.91928470678497,197.90345872773065,142.62873315811157,55.27472546365526
49,202.76463272362426,144.68780456007573,58.076827942697626,200.97631046507092,146.5473536517885,54.42895687950982
50,203.09631717079563,144.97356571398282,58.12275120249966,198.39629215664334,142.24200868606567,56.15428393416934
