epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1150.25,1.47811,0.76008,0.00969,0.85211,0.79033,0.85928,0.4237,1.80842,0.80941,0.01329,0.0014588,0.0014588,0.0014588
43,1173.08,1.47993,0.76549,0.00981,0.846,0.79826,0.8598,0.4241,1.79045,0.81506,0.01313,0.0014456,0.0014456,0.0014456
44,1197.88,1.46393,0.76204,0.00967,0.84084,0.80116,0.85545,0.42972,1.79587,0.79989,0.01317,0.0014324,0.0014324,0.0014324
45,1222.89,1.45944,0.75473,0.00955,0.86469,0.77221,0.85623,0.42976,1.78986,0.82981,0.01321,0.0014192,0.0014192,0.0014192
46,1245.53,1.45921,0.76578,0.00963,0.86376,0.79056,0.86583,0.43497,1.7853,0.79634,0.01291,0.001406,0.001406,0.001406
47,1270.69,1.45632,0.74667,0.00964,0.83475,0.811,0.86098,0.4252,1.80248,0.82908,0.01322,0.0013928,0.0013928,0.0013928
48,1295.66,1.45032,0.74723,0.0095,0.84172,0.79575,0.85171,0.42323,1.80098,0.84924,0.01322,0.0013796,0.0013796,0.0013796
49,1318.34,1.44366,0.73188,0.00933,0.86611,0.79225,0.85982,0.42973,1.7909,0.81057,0.01312,0.0013664,0.0013664,0.0013664
50,1344.12,1.44646,0.7451,0.00956,0.83371,0.81986,0.85921,0.42779,1.79002,0.79863,0.01314,0.0013532,0.0013532,0.0013532
51,1370.15,1.43272,0.72491,0.00939,0.83864,0.79648,0.85131,0.41272,1.82874,0.84877,0.01347,0.00134,0.00134,0.00134
52,1393.43,1.44036,0.72692,0.00936,0.83781,0.79693,0.85487,0.42817,1.78988,0.84059,0.01308,0.0013268,0.0013268,0.0013268
53,1418.99,1.42831,0.71918,0.00935,0.84597,0.80049,0.86087,0.43079,1.79455,0.84351,0.0131,0.0013136,0.0013136,0.0013136
54,1443.99,1.42635,0.72599,0.00937,0.83788,0.81519,0.86722,0.4292,1.80431,0.78005,0.01318,0.0013004,0.0013004,0.0013004
55,1468.07,1.42504,0.7155,0.00931,0.82775,0.81213,0.85676,0.4288,1.78385,0.81893,0.01301,0.0012872,0.0012872,0.0012872
56,1493.75,1.41798,0.71074,0.00941,0.84107,0.78713,0.85638,0.42843,1.79646,0.84211,0.01317,0.001274,0.001274,0.001274
57,1519.04,1.40538,0.70723,0.00924,0.83226,0.80517,0.85171,0.42071,1.81274,0.82369,0.01318,0.0012608,0.0012608,0.0012608
